                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.98441,                0.61226,                 1.0345,                0.77263,                0.66667,                0.77254,                0.46177,                 1.4682,                 1.2091,                 1.2911,               0.000416,               0.000416,               0.000416
                     83,                0.92786,                 0.6063,                 1.0407,                0.78234,                0.66667,                0.79456,                0.45447,                 1.5048,                   1.21,                 1.3423,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.9982,                0.67021,                 1.0796,                0.85367,                0.66667,                0.79172,                0.47004,                 1.4794,                 1.1828,                 1.3376,              0.0003764,              0.0003764,              0.0003764
                     85,                0.94005,                0.60728,                 1.0492,                0.84585,                0.62963,                0.78385,                0.48322,                 1.4413,                 1.1103,                 1.3191,              0.0003566,              0.0003566,              0.0003566
                     86,                0.97257,                0.60078,                 1.0393,                0.89135,                0.59259,                0.80109,                0.52366,                 1.3633,                 1.0941,                 1.2516,              0.0003368,              0.0003368,              0.0003368
                     87,                0.96733,                0.62206,                 1.0733,                0.87203,                 0.7037,                0.81981,                 0.5238,                 1.3317,                 1.0601,                  1.193,               0.000317,               0.000317,               0.000317
                     88,                 0.9361,                0.60741,                 1.0255,                0.88695,                 0.7037,                0.83152,                0.54579,                 1.3247,                   1.03,                 1.1898,              0.0002972,              0.0002972,              0.0002972
                     89,                0.95711,                0.58561,                 1.0816,                0.84336,                0.79797,                0.84473,                0.53881,                  1.354,                  1.031,                 1.1878,              0.0002774,              0.0002774,              0.0002774
                     90,                0.92584,                0.59699,                 1.0533,                 0.8817,                 0.7037,                0.84239,                0.54613,                 1.3354,                 1.0816,                 1.1794,              0.0002576,              0.0002576,              0.0002576
                     91,                0.92304,                0.69208,                  1.065,                0.87447,                 0.7037,                0.83062,                0.53009,                 1.3313,                 1.1439,                 1.1771,              0.0002378,              0.0002378,              0.0002378
                     92,                0.88314,                0.62706,                0.98702,                0.78612,                0.68101,                0.79779,                0.51979,                 1.3781,                 1.1456,                 1.2078,               0.000218,               0.000218,               0.000218
                     93,                 0.8417,                0.59212,                 1.0024,                0.79117,                0.70168,                0.79046,                0.50648,                 1.4371,                 1.1354,                 1.2522,              0.0001982,              0.0001982,              0.0001982
                     94,                0.83253,                0.62772,                 1.0157,                0.75549,                0.68699,                0.74793,                0.48412,                 1.5243,                 1.1243,                 1.3372,              0.0001784,              0.0001784,              0.0001784
                     95,                0.96827,                0.59556,                 1.0271,                0.77929,                 0.7037,                0.77024,                0.48497,                 1.5854,                 1.0642,                 1.4188,              0.0001586,              0.0001586,              0.0001586
                     96,                0.83572,                0.59413,                 0.9732,                0.75695,                 0.7037,                0.77024,                0.46909,                 1.6057,                 1.0691,                 1.4583,              0.0001388,              0.0001388,              0.0001388
                     97,                0.93133,                 0.5703,                  1.014,                0.75263,                 0.7037,                0.74402,                 0.4655,                 1.4813,                 1.0777,                 1.3331,               0.000119,               0.000119,               0.000119
                     98,                 0.8537,                0.55314,                0.98266,                0.75288,                 0.7037,                0.74203,                0.46658,                 1.4731,                 1.0538,                 1.3198,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.91754,                0.59262,                 1.0192,                0.75616,                 0.7037,                0.73673,                 0.4681,                 1.4565,                 1.0541,                 1.3046,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.91648,                0.56593,                0.99559,                0.75829,                 0.7037,                0.74267,                0.47393,                 1.4481,                 1.0533,                 1.2937,               5.96e-05,               5.96e-05,               5.96e-05
